,datetime,city,state,shape,comment
102,12/8/20 18:30,Nogales,AZ,Light,Flickering light stops in mid air and starts to shine really bright and ultimately disappears.
103,12/8/20 18:10,OCEAN CITY,MD,Light,2 sets of lights hovering over the ocean near the inlet.  The lights kept appearing and disappearing in the same area.  The lights were red and white and flashing.  The sky was very clear.
104,12/8/20 18:00,Fredericksburg,IA,Rectangle,"I was Driving northbound on hwy 63, 3 miles south of hwy 18 when i saw a bright white lighted, Rectangular object moving very fast through the sky east to west, lasted about 6 seconds and then just vanished"
105,12/8/20 12:45,Eureka,KS,Light,Two white lights traveling at a high rate of speed.
106,12/8/20 05:35,Princeton,KY,Other,"I observed an orb of white light passing over north Princeton, going west to east. It was slow moving and without sound. Two family members first spotted it and called me outside to get my opinion of what it was. It was not a plane or helicopter, and was too high to be a drone. It wasn’t a satellite, because it was to low for the light to have been reflection of the sun; it was far too bright for reflected light, as well."
107,12/8/20 05:35,Princeton,KY,Other,"I observed an orb of white light passing over north Princeton, going west to east. It was slow moving and without sound. Two family members first spotted it and called me outside to get my opinion of what it was. It was not a plane or helicopter, and was too high to be a drone. It wasn’t a satellite, because it was to low for the light to have been reflection of the sun; it was far too bright for reflected light, as well."
108,12/8/20 02:00,Pacifica,CA,Circle,Circular red object hovering over Pacific Ocean
109,12/7/20 23:23,Anamoose,ND,Disk,"Large, spinning , colorful UFO."
110,12/7/20 22:32,Colorado Springs,CO,Triangle,"Triangular object, white lights, silent but incredibly fast."
111,12/7/20 21:00,Garden Valley,CA,Chevron,Large craft turns into two crafts then appears a third craft.
112,12/7/20 20:30,ranchos de taos,NM,Light,"Multicolor flickering light shines bright, moves slow up into the sky until it's too far to be seen."
113,12/7/20 20:15,Juno Beach,FL,Sphere,2 orbs off Juno Beach
