,datetime,city,state,shape,comment
145,4/27/20 22:00,Marshfield,MO,Light,"Apx 22:00 went out and looked up and saw a line of lights moving in a straight line. There was 2 and 3 and single lights moving at the same speed and moving from west to east and there was no sound so I know it wasn't any Jets, so I ran inside and woke my husband to show him and he saw the end of the line of them and they got to one spot and disappeared one at a time."
146,4/27/20 22:00,Lansdale,PA,Cigar,UFO'S playing in the sky.
147,4/27/20 22:00,Los Angeles,CA,Circle,It was a Round Black Moon 45 degrees WNW with some yellow light coming through.
148,4/27/20 21:30,Kansas City,KS,Formation,1 object with 6 lights or 6 smaller objects in a perfectly straight line moving West to east over the Missouri river. The lights stayed lit for approximately 15 to 25 seconds and went out one by one from East to West.
149,4/27/20 21:20,Jefferson City,MO,Light,A straight line of many multiple lights directly overhead
150,4/27/20 21:15,Wentzville,MO,Circle,30-50 lights flew from west to east in a straight line disappearing overhead.
151,4/27/20 21:15,Chariton,IA,Light,Line of 30-40 white lights moving single file through the sky from NW to SE
152,4/27/20 21:15,Chesterfield,MO,Formation,Star like formations moving quickly in sets of 3 across sky
153,4/27/20 21:14,Warsaw,MO,Other,Truman Dam Missouri string of lights.
154,4/27/20 21:10,Ruther Glen,VA,Unknown,Large ufo in Ruther Glen VA
155,4/27/20 21:10,Brentwood,TN,Formation,little bright dots were lining up and heading to west and flying upwards and disappeared
156,4/27/20 21:09,Watsonville,CA,<br/>,"MADAR Node 105, replaces 04/28/2020 same location"
157,4/27/20 21:08,Townsend,DE,Formation,the sighting lasted 3 minutes.right over my house 25 to 30 bright single and seperated by almost the same distance flying lights heading southeast towards dover air base they where not satelites ! im 61 years old sober as a judge and have never seen anything close to what i watched . what ever those flying things were thank god they didnt stop they just disappeared one by one into the night sky at the same spot what ever they were couldnt have been planes or helecoptors because they where to big. i would bet my life they were not from this planet and take a lie detector test  to prove it.we tried to get a picture with our phone but no luck.
158,4/27/20 21:06,Sunbury,PA,Circle,25 solid circular lights moving SE in a strait line
159,4/27/20 21:05,Kitty Hawk,NC,Formation,Observed straight line of 8-12 “moving stars on a very clear night
160,4/27/20 21:03,Ellicott City,MD,Formation,"A lined formation of brightly lit objects moving West to East, 12-15 objects in two groups, one of 5 and another of 7-10."
161,4/27/20 21:01,Buffalo,NY,Formation,"A long queue of whitish round orbs, perhaps 15 total, in the south covering the whole heavens, moving from West to East at steady speed"
162,4/27/20 21:00,Wyomissing,PA,Unknown,20 Lights in a row
163,4/27/20 21:00,South Charleston,WV,Light,Strand of lights perfectly spaced moving in unison across the sky. I counted over 20 crafts.
164,4/27/20 21:00,Severn,MD,Circle,25-30 White Lights Flying Over Severn.
165,4/27/20 21:00,Edwardsville,KS,Light,Walked outside and seen a straight line of about 15 lights not in a row but two or three separated by a space until there was 15 and a straight row and they were all going up into the sky and they just slowly disappeared.
166,4/27/20 21:00,Williamsburg,VA,Light,"40 plus lights detected in the sky traveling at a high rate of speed straight in a line, no sound detected."
